#multi:
;A;;T;;E;;M;;C;;5Mt;;
t;x;y;x;y;x;y;x;y;x;y;x;y;
1,250;0,622;2,023;0,632;1,263;0,584;0,651;0,443;0,139;0,383;0,103;0,580;6,285E-2
1,267;0,624;2,020;0,624;1,259;0,561;0,652;0,410;0,143;0,345;0,113;0,412;0,144
1,284;0,628;2,016;0,616;1,255;0,539;0,652;0,377;0,147;0,312;0,120;0,509;6,398E-2
1,301;0,632;2,012;0,609;1,252;0,516;0,653;0,343;0,153;0,279;0,120;0,472;6,498E-2
1,317;0,634;2,008;0,602;1,248;0,493;0,655;0,309;0,160;0,241;0,138;0,435;6,545E-2
1,334;0,636;2,002;0,597;1,245;0,472;0,657;0,275;0,167;0,218;0,146;0,278;0,169
1,351;0,638;1,996;0,594;1,240;0,453;0,658;0,245;0,176;0,176;0,163;0,361;6,815E-2
1,367;0,640;1,989;0,593;1,237;0,438;0,660;0,214;0,185;0,157;0,172;0,324;6,952E-2
1,384;0,641;1,983;0,593;1,233;0,427;0,661;0,185;0,195;0,115;0,189;0,287;7,146E-2
1,401;0,641;1,977;0,595;1,230;0,422;0,659;0,158;0,206;8,866E-2;0,201;0,253;7,542E-2
1,417;0,642;1,973;0,599;1,225;0,421;0,658;0,134;0,220;7,274E-2;0,214;0,216;7,965E-2
